Occupation,Task
Climate Change Policy Analysts,"['Provide analytical support for policy briefs related to renewable energy, energy efficiency, or climate change.', 'Propose new or modified policies involving use of traditional and alternative fuels, transportation of goods, and other factors relating to climate and climate change.', 'Prepare study reports, memoranda, briefs, testimonies, or other written materials to inform government or environmental groups on environmental issues, such as climate change.', 'Analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.', 'Make legislative recommendations related to climate change or environmental management, based on climate change policies, principles, programs, practices, and processes.', 'Present climate-related information at public interest, governmental, or other meetings.', 'Gather and review climate-related studies from government agencies, research laboratories, and other organizations.', 'Review existing policies or legislation to identify environmental impacts.', 'Promote initiatives to mitigate climate change with government or environmental groups.', 'Research policies, practices, or procedures for climate or environmental management.', 'Write reports or academic papers to communicate findings of climate-related studies.', 'Develop, or contribute to the development of, educational or outreach programs on the environment or climate change.', 'Present and defend proposals for climate change research projects.', 'Prepare grant applications to obtain funding for programs related to climate change, environmental management, or sustainability.']"
Correspondence Clerks,"['Maintain files and control records to show correspondence activities.', ""Read incoming correspondence to ascertain nature of writers' concerns and to determine disposition of correspondence."", 'Gather records pertinent to specific problems, review them for completeness and accuracy, and attach records to correspondence as necessary.', 'Prepare documents and correspondence, such as damage claims, credit and billing inquiries, invoices, and service complaints.', 'Compile data from records to prepare periodic reports.', 'Compose letters in reply to correspondence concerning such items as requests for merchandise, damage claims, credit information requests, delinquent accounts, incorrect billing, or unsatisfactory service.', 'Route correspondence to other departments for reply.', 'Ensure that money collected is properly recorded and secured.', 'Process orders for goods requested in correspondence.', 'Present clear and concise explanations of governing rules and regulations.', 'Review correspondence for format and typographical accuracy, assemble the information into a prescribed form with the correct number of copies, and submit it to an authorized official for signature.', 'Compute costs of records furnished to requesters, and write letters to obtain payment.', 'Compile data pertinent to manufacture of special products for customers.', 'Type acknowledgment letters to persons sending correspondence.', 'Complete form letters in response to requests or problems identified by correspondence.', ""Confer with company personnel regarding feasibility of complying with writers' requests."", 'Prepare records for shipment by certified mail.']"
Financial Examiners,"['Direct and participate in formal and informal meetings with bank directors, trustees, senior management, counsels, outside accountants, and consultants to gather information and discuss findings.', 'Recommend actions to ensure compliance with laws and regulations, or to protect solvency of institutions.', ""Prepare reports, exhibits, and other supporting schedules that detail an institution's safety and soundness, compliance with laws and regulations, and recommended solutions to questionable financial conditions."", 'Resolve problems concerning the overall financial integrity of banking institutions including loan investment portfolios, capital, earnings, and specific or large troubled accounts.', 'Investigate activities of institutions to enforce laws and regulations and to ensure legality of transactions and operations or financial solvency.', 'Review balance sheets, operating income and expense accounts, and loan documentation to confirm institution assets and liabilities.', 'Plan, supervise, and review work of assigned subordinates.', 'Review audit reports of internal and external auditors to monitor adequacy of scope of reports or to discover specific weaknesses in internal routines.', 'Examine the minutes of meetings of directors, stockholders, and committees to investigate the specific authority extended at various levels of management.', 'Train other examiners in the financial examination process.', 'Establish guidelines for procedures and policies that comply with new and revised regulations and direct their implementation.', 'Review and analyze new, proposed, or revised laws, regulations, policies, and procedures to interpret their meaning and determine their impact.', 'Provide regulatory compliance training to employees.', 'Evaluate data processing applications for institutions under examination to develop recommendations for coordinating existing systems with examination procedures.', 'Review applications for mergers, acquisitions, establishment of new institutions, acceptance in Federal Reserve System, or registration of securities sales to determine their public interest value and conformance to regulations, and recommend acceptance or rejection.', 'Verify and inspect cash reserves, assigned collateral, and bank-owned securities to check internal control procedures.', 'Confer with officials of real estate, securities, or financial institution industries to exchange views and discuss issues or pending cases.']"
"Graders and Sorters, Agricultural Products","['Place products in containers according to grade and mark grades on containers.', 'Weigh products or estimate their weight, visually or by feel.', 'Discard inferior or defective products or foreign matter, and place acceptable products in containers for further processing.', 'Grade and sort products according to factors such as color, species, length, width, appearance, feel, smell, and quality to ensure correct processing and usage.', 'Record grade or identification numbers on tags or on shipping, receiving, or sales sheets.']"
Mathematicians,"['Mentor others on mathematical techniques.', 'Maintain knowledge in the field by reading professional journals, talking with other mathematicians, and attending professional conferences.', 'Develop new principles and new relationships between existing mathematical principles to advance mathematical science.', 'Disseminate research by writing reports, publishing papers, or presenting at professional conferences.', 'Assemble sets of assumptions, and explore the consequences of each set.', 'Perform computations and apply methods of numerical analysis to data.', 'Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.', 'Conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic.', 'Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.', 'Apply mathematical theories and techniques to the solution of practical problems in business, engineering, the sciences, or other fields.', 'Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.', 'Design, analyze, and decipher encryption systems designed to transmit military, political, financial, or law-enforcement-related information in code.']"
Political Scientists,"['Teach political science.', 'Maintain current knowledge of government policy decisions.', 'Develop and test theories, using information from interviews, newspapers, periodicals, case law, historical papers, polls, or statistical sources.', 'Disseminate research results through academic publications, written reports, or public presentations.', 'Advise political science students.', 'Collect, analyze, and interpret data, such as election results and public opinion surveys, reporting on findings, recommendations, and conclusions.', 'Interpret and analyze policies, public issues, legislation, or the operations of governments, businesses, and organizations.', 'Identify issues for research and analysis.', 'Serve on committees.', 'Forecast political, economic, and social trends.', 'Consult with and advise government officials, civic bodies, research agencies, the media, political parties, and others concerned with political issues.', 'Evaluate programs and policies, and make related recommendations to institutions and organizations.', 'Provide media commentary or criticism related to public policy and political issues and events.', 'Write drafts of legislative proposals, and prepare speeches, correspondence, and policy papers for governmental use.']"
Project Management Specialists,"['Assign duties or responsibilities to project personnel.', 'Communicate with key stakeholders to determine project requirements and objectives.', 'Confer with project personnel to identify and resolve problems.', 'Create project status presentations for delivery to customers or project personnel.', 'Develop or update project plans including information such as objectives, technologies, schedules, funding, and staffing.', 'Identify project needs such as resources, staff, or finances by reviewing project objectives and schedules.', 'Identify, review, or select vendors or consultants to meet project needs.', 'Monitor costs incurred by project staff to identify budget issues.', 'Monitor project milestones and deliverables.', 'Monitor the performance of project team members to provide performance feedback.', 'Negotiate with project stakeholders or suppliers to obtain resources or materials.', 'Plan, schedule, or coordinate project activities to meet deadlines.', 'Prepare and submit budget estimates, progress reports, or cost tracking reports.', 'Produce and distribute project documents.', 'Propose, review, or approve modifications to project plans.', 'Recruit or hire project personnel.', 'Report project status, such as budget, resources, technical issues, or customer satisfaction, to managers.', 'Request and review project updates to ensure deadlines are met.', 'Schedule or facilitate project meetings.', 'Submit project deliverables to clients, ensuring adherence to quality standards.']"
Statistical Assistants,"['Compute and analyze data, using statistical formulas and computers or calculators.', 'Check source data to verify completeness and accuracy.', 'Enter data into computers for use in analyses or reports.', 'Compile reports, charts, or graphs that describe and interpret findings of analyses.', 'Participate in the publication of data or information.', 'File data and related information, and maintain and update databases.', 'Organize paperwork, such as survey forms or reports, for distribution or analysis.', 'Code data prior to computer entry, using lists of codes.', 'Compile statistics from source materials, such as production or sales records, quality-control or test records, time sheets, or survey sheets.', 'Interview people and keep track of their responses.', 'Check survey responses for errors, such as the use of pens instead of pencils, and set aside response forms that cannot be used.', 'Select statistical tests for analyzing data.', 'Discuss data presentation requirements with clients.', 'Send out surveys.']"
Technical Writers,"['Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.', 'Maintain records and files of work and revisions.', 'Edit, standardize, or make changes to material prepared by other writers or establishment personnel.', 'Select photographs, drawings, sketches, diagrams, and charts to illustrate material.', 'Interview production and engineering personnel and read journals and other material to become familiar with product technologies and production methods.', 'Develop or maintain online help documentation.', 'Assist in laying out material for publication.', 'Study drawings, specifications, mockups, and product samples to integrate and delineate technology, operating procedure, and production sequence and detail.', 'Arrange for typing, duplication, and distribution of material.', 'Observe production, developmental, and experimental activities to determine operating procedure and detail.', ""Review manufacturer's and trade catalogs, drawings and other data relative to operation, maintenance, and service of equipment."", 'Analyze developments in specific field to determine need for revisions in previously published materials and development of new material.', 'Draw sketches to illustrate specified materials or assembly sequence.', 'Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.', 'Confer with customer representatives, vendors, plant executives, or publisher to establish technical specifications and to determine subject material to be developed for publication.']"
Writers and Authors,"[""Develop advertising campaigns for a wide range of clients, working with an advertising agency's creative director and art director to determine the best way to present advertising information."", 'Vary language and tone of messages based on product and medium.', 'Present drafts and ideas to clients.', 'Discuss with the client the product, advertising themes and methods, and any changes that should be made in advertising copy.', 'Review advertising trends, consumer surveys, and other data regarding marketing of goods and services to determine the best way to promote products.', 'Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.', ""Conduct research and interviews to determine which of a product's selling features should be promoted."", 'Invent names for products and write the slogans that appear on packaging, brochures and other promotional material.', 'Collaborate with other writers on specific projects.', 'Conduct research to obtain factual information and authentic detail, using sources such as newspaper accounts, diaries, and interviews.', 'Consult with sales, media and marketing representatives to obtain information on product or service and discuss style and length of advertising written material.', 'Edit or rewrite existing written material as necessary, and submit written material for approval by supervisor, editor, or publisher.', 'Follow appropriate procedures to get copyrights for completed work.', 'Plan project arrangements or outlines, and organize material accordingly.', 'Prepare works in appropriate format for publication, and send them to publishers or producers.', 'Revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers.', 'Work with staff to develop script, story, or advertising concepts.', 'Write advertising material for use by publication, broadcast, or internet media to promote the sale of goods and services.', 'Write fiction or nonfiction prose, such as short stories, novels, biographies, articles, descriptive or critical analyses, and essays.', 'Write to customers in their terms and on their level so that the script, story, or advertisement message is more readily received.']"
